"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"D8Ertd82e";2,45445326744982e-08;-0,916354232328765;0,212;0,77;1,93410917475046e-05
"H3f3b";2,71382772346806e-08;-0,7688962008676;0,939;1;2,13849624609283e-05
"Ubald2";3,38024153660633e-08;-0,832801745668796;0,364;0,784;2,66363033084579e-05
"Kif5c";3,46493826989147e-08;-0,832791453733583;0,485;0,905;2,73037135667448e-05
"Dync1i2";3,63601724917414e-08;-0,736375993298213;0,667;0,946;2,86518159234922e-05
"Tagln3";4,10921302220253e-08;-0,813064361004847;0,485;0,811;3,23805986149559e-05
"Dpysl3";4,79292411515646e-08;-0,832022020915778;0,758;0,959;3,77682420274329e-05
"Tpx2";5,25634173566224e-08;-1,04137974537761;0,182;0,676;4,14199728770185e-05
"Map2";5,44224906462057e-08;-0,867957291559857;0,424;0,824;4,28849226292101e-05
"Mir99ahg";5,68635321914703e-08;-0,880678175486764;0,273;0,784;4,48084633668786e-05
"Nuak1";5,72397078337053e-08;-0,911666655890803;0,121;0,784;4,51048897729598e-05
"Gpm6b";6,36048323667662e-08;-0,80227742312605;0,515;0,865;5,01206079050118e-05
"Bub3";6,38027312818932e-08;-0,851923328942838;0,485;0,878;5,02765522501318e-05
"Paics";6,68447328765639e-08;-0,713262888134089;0,697;0,932;5,26736495067324e-05
"Neurod1";6,83984705974575e-08;-1,10481820025142;0,333;0,676;5,38979948307965e-05
"Neurod2";7,64455941369105e-08;-1,02650736280594;0,273;0,703;6,02391281798854e-05
"Cdca8";7,98881729071994e-08;-1,00389521791725;0,273;0,662;6,29518802508731e-05
"Cenpa";8,28732752428394e-08;-1,23219178574357;0,273;0,622;6,53041408913574e-05
"Fxyd6";9,08676186055462e-08;-0,786373019534429;0,424;0,838;7,16036834611704e-05
"Epha4";9,51914189033865e-08;-0,685837348883411;0,697;0,973;7,50108380958686e-05
"Cenpe";9,78429861037345e-08;-1,10452581453036;0,121;0,649;7,71002730497428e-05
"Clic4";1,04797843496517e-07;-0,70650041931759;0,455;0,932;8,25807006752557e-05
"Rangap1";1,3650863313512e-07;-0,817404522185796;0,606;0,838;0,000107568802910475
"Tacc3";1,3919295925861e-07;-0,936392616239687;0,182;0,689;0,000109684051895785
"H1f0";1,49532873683033e-07;-0,855758723394298;0,697;0,986;0,00011783190446223
"Racgap1";1,76479619596191e-07;-0,845284020703465;0,333;0,743;0,000139065940241799
"Prox1";2,07715394800283e-07;-0,993513942047568;0,061;0,703;0,000163679731102623
"Cdca3";2,19186038214845e-07;-0,973795023907354;0,273;0,676;0,000172718598113298
"Hdgf";2,37298930444903e-07;-0,662900412905977;0,879;1;0,000186991557190584
"2810417H13Rik";2,38437033221642e-07;-1,00104795624018;0,636;0,905;0,000187888382178654
"Ccnb1";2,58192510567392e-07;-1,18691562965847;0,182;0,554;0,000203455698327105
