"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Ppp2r2b";7,4892106396614e-09;-1,05072268816777;0,182;0,757;5,90149798405318e-06
"Atxn7l3b";8,11308847795421e-09;-0,658145889101384;0,848;1;6,39311372062792e-06
"Lmo4";1,13529676071904e-08;-0,873641527745543;0,576;0,878;8,94613847446607e-06
"Ubb";1,22082612006453e-08;-0,658891092278708;0,97;1;9,62010982610851e-06
"Cntn2";1,3077362315513e-08;-1,04133355302518;0,182;0,73;1,03049615046242e-05
"Mex3b";1,72013340484728e-08;-0,83560878044164;0,303;0,851;1,35546512301966e-05
"Aplp1";1,82303523339836e-08;-0,914811604252356;0,303;0,77;1,43655176391791e-05
"Cnr1";2,60697455876622e-08;-1,27597234631361;0,091;0,716;2,05429595230778e-05
"Miat";2,72918273352019e-08;-0,934601049000541;0,424;0,838;2,15059599401391e-05
"Klf7";2,73824387138947e-08;-0,928602703769657;0,212;0,797;2,1577361706549e-05
"Nuak1";2,74393713165526e-08;-1,01474625005186;0,121;0,703;2,16222245974435e-05
"L1cam";3,76502751175841e-08;-1,20246650275967;0,121;0,608;2,96684167926563e-05
"Gria2";4,09915661719799e-08;-0,94081885063118;0,545;0,865;3,23013541435202e-05
"Mfap2";4,18844068895552e-08;-0,754345004169735;0,364;0,919;3,30049126289695e-05
"Igsf8";4,40406456233216e-08;-0,765286811386636;0,758;0,959;3,47040287511774e-05
"Epha4";4,56892661358191e-08;-0,839201335085105;0,697;0,919;3,60031417150254e-05
"Gap43";4,66595573155823e-08;-1,12657741708755;0,273;0,703;3,67677311646789e-05
"Kcnq1ot1";4,83622093632805e-08;-0,866830752383542;0,758;0,973;3,81094209782651e-05
"Rmst";6,45378731877178e-08;-0,834194748081192;0,242;0,811;5,08558440719216e-05
"Ubn2";6,95815821860944e-08;-0,802197612789024;0,424;0,838;5,48302867626424e-05
"Reln";8,12432465596548e-08;-1,34644546571768;0,061;0,595;6,4019678289008e-05
