"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"D8Ertd82e";9,32419486137228e-06;-0,720539615774575;0,212;0,595;0,00734746555076135
"Calm2";9,59456097341218e-06;-0,618953713193443;0,636;0,934;0,00756051404704879
"Tk1";9,66708598122777e-06;-0,724970888466528;0,273;0,595;0,00761766375320748
"Hdgf";9,90573220456456e-06;-0,548387650730724;0,879;0,983;0,00780571697719687
"Ncam1";1,05303166338362e-05;-0,613937665485472;0,515;0,851;0,00829788950746289
"Cks2";1,10200784765821e-05;-0,852641733894707;0,333;0,628;0,00868382183954671
"Ybx1";1,14017401777269e-05;-0,438075284990532;0,97;1;0,00898457126004882
"Arcn1";1,24236043095805e-05;-0,883814618417327;0,636;0,917;0,00978980019594946
"Clic4";1,24977464067785e-05;-0,60832025184508;0,455;0,835;0,00984822416854146
"Rangap1";1,32792896046063e-05;-0,732239784051398;0,606;0,777;0,0104640802084298
"Incenp";1,41879186325993e-05;-0,720818323193697;0,242;0,554;0,0111800798824882
"Cenpf";1,46279432347039e-05;-0,85188071393807;0,394;0,793;0,0115268192689467
"Aldoc";1,70893263991576e-05;-0,729867558957559;0,273;0,579;0,0134663892025362
"Aspm";1,73315529118314e-05;-0,818336442532199;0,121;0,479;0,0136572636945232
"Lig1";1,83650187301199e-05;-0,77193039036263;0,394;0,686;0,0144716347593345
"Ier5";1,92190566769523e-05;-0,619694083332783;0,333;0,661;0,0151446166614384
"Kif23";1,92822635554439e-05;-0,794275167966275;0,091;0,496;0,0151944236816898
"Mat2a";2,22234491284975e-05;-0,526988691487444;0,788;0,917;0,017512077913256
"Ncan";2,26102851188411e-05;-0,688477111964058;0,121;0,554;0,0178169046736468
"Rpl7l1";2,31864226331121e-05;-0,712712791040754;0,303;0,661;0,0182709010348923
"Slc38a2";2,37601368702144e-05;-0,553369025510579;0,667;0,86;0,0187229878537289
"Sox21";2,42666833330313e-05;-0,580164910440119;0,303;0,752;0,0191221464664287
"Txn1";2,73338261936169e-05;-0,456139084737686;0,727;0,967;0,0215390550405702
"Mfge8";2,74322034163459e-05;-0,559002291167763;0,333;0,744;0,0216165762920806
"Bub3";3,08756151824339e-05;-0,649375556591118;0,485;0,736;0,0243299847637579
"Ckap2l";3,15417952591644e-05;-0,741255544163002;0,121;0,479;0,0248549346642216
"Map2";3,4942684430511e-05;-0,550464455982695;0,424;0,744;0,0275348353312427
"Efnb1";3,77866933296811e-05;-0,507641806514705;0,455;0,884;0,0297759143437887
"Scd2";3,80994017765407e-05;-0,565933646538594;0,758;0,959;0,0300223285999141
"Socs2";3,91047082581466e-05;-0,583621060562329;0,212;0,636;0,0308145101074196
"Arx";3,95300534547466e-05;-0,58224662577092;0,273;0,661;0,0311496821223403
"Gpm6a";4,1211590236203e-05;-0,572690336839419;0,242;0,612;0,032474733106128
"Fezf2";4,20760592216668e-05;-0,564143340050183;0,485;0,826;0,0331559346666734
"Kpna2";4,70085718556057e-05;-0,865306052052228;0,424;0,587;0,0370427546222173
"Npm1";5,33264878038181e-05;-0,436845444539493;1;1;0,0420212723894087
"Plk1";5,3968828149295e-05;-0,749620945848817;0,242;0,471;0,0425274365816445
"Kcnq1ot1";5,95590825974476e-05;-0,585139951956524;0,758;0,934;0,0469325570867887
